Region,Crop_Type,Temperature,Rainfall,Pesticide_Use,Yield,Soil_Moisture,Humidity,Solar_Radiation,Wind_Speed,Previous_Crop,Fertilizer_Residuals,Pest_Infestation_Severity,Disease_Presence,Pesticide_Effectiveness,Monsoon_Delay,Flood_Occurrence,Temperature_Extremes,Year
Uttar Pradesh,Soybean,31.76,778.0,359.71,5998.66,31.37,52.23,7.58,6.89,Wheat,256.3,2.86,1,93.06,21.75,1,0,2023
Tamil Nadu,Soybean,30.57,1149.21,269.36,4483.04,17.62,64.14,6.53,1.23,Maize,85.68,7.64,0,83.06,8.23,1,1,2023
Gujarat,Soybean,24.35,477.34,265.95,5806.24,6.01,82.9,6.36,5.4,Wheat,127.39,2.86,1,94.96,5.54,0,1,2023
Odisha,Soybean,27.49,1457.48,394.75,2915.85,15.39,86.51,4.97,15.37,Sugarcane,192.28,0.95,1,88.84,2.51,1,0,2023
Haryana,Sugarcane,31.51,963.95,221.78,5107.17,28.89,74.37,3.01,17.7,Maize,111.5,1.91,1,85.72,3.09,1,0,2023
Punjab,Sugarcane,29.58,895.17,402.57,5033.75,25.25,35.2,3.6,4.43,Rice,174.29,3.82,0,82.6,18.74,1,1,2023
Chhattisgarh,Wheat,39.29,1069.91,238.25,4693.94,18.21,70.15,5.67,9.27,Maize,252.34,8.59,1,88.92,12.93,0,0,2023
Haryana,Rice,22.46,1119.72,209.75,5948.64,6.45,54.62,6.38,9.41,Sugarcane,167.63,4.77,1,76.79,19.19,0,0,2023
Rajasthan,Soybean,33.5,411.87,255.37,3328.79,17.26,58.24,5.09,17.47,Sugarcane,287.24,5.73,0,63.86,17.34,0,1,2023
Karnataka,Wheat,27.76,1193.75,367.26,2125.12,18.49,32.95,6.65,15.26,Wheat,261.88,2.86,1,61.6,14.8,1,1,2023
Gujarat,Rice,28.23,629.67,136.39,4602.59,31.86,41.46,5.61,10.26,Wheat,133.26,5.73,0,79.16,13.38,0,0,2023
Madhya Pradesh,Maize,33.95,1233.86,161.93,4866.38,23.5,77.43,3.37,13.41,Soybean,149.99,8.59,1,83.97,1.06,0,1,2023
Bihar,Sugarcane,33.45,1372.85,435.81,4159.99,13.91,57.24,3.96,16.95,Maize,155.83,1.91,0,63.15,19.15,0,1,2023
Telangana,Rice,39.36,1349.07,154.34,2473.62,20.13,48.1,7.2,0.19,Soybean,206.54,5.73,0,71.48,9.18,1,1,2023
Uttar Pradesh,Maize,22.3,1027.2,296.62,3836.66,6.77,53.04,6.62,8.06,Sugarcane,121.7,2.86,0,72.88,12.29,0,1,2023
Chhattisgarh,Rice,21.82,985.82,300.83,2956.17,33.14,81.26,7.47,18.14,Wheat,292.31,6.68,1,82.51,0.48,0,1,2023
Tamil Nadu,Sugarcane,34.08,502.88,268.29,3484.08,15.32,74.94,3.59,14.81,Wheat,202.17,7.64,1,71.14,20.56,1,0,2023
Telangana,Sugarcane,31.2,1312.44,324.56,4481.28,18.75,46.34,7.95,10.86,Wheat,149.85,5.73,0,63.83,19.82,0,0,2023
Uttar Pradesh,Wheat,25.18,667.4,174.05,4939.21,15.18,37.05,4.05,10.59,Rice,211.25,6.68,1,66.59,11.93,1,1,2023
Maharashtra,Soybean,21.33,955.77,291.16,2589.97,24.7,45.12,3.06,6.96,Sugarcane,148.85,6.68,1,66.96,12.68,1,1,2023
Andhra Pradesh,Rice,21.46,683.87,225.69,3382.69,24.11,85.25,7.99,10.41,Wheat,254.45,0.95,0,93.71,15.48,0,1,2023
Tamil Nadu,Rice,37.44,491.3,330.7,2759.13,25.65,64.9,4.41,13.11,Sugarcane,191.96,7.64,0,71.37,5.81,0,0,2023
Tamil Nadu,Maize,23.56,1125.83,141.91,2436.13,12.65,62.01,6.34,8.37,Wheat,60.49,4.77,0,88.59,4.87,0,0,2023
